 5.00000000e-10  9.99250562e-04 
 1.00000000e-09  1.99775225e-03 
 2.00000000e-09  3.99325899e-03 
 4.00000000e-09  7.97530614e-03 
 8.00000000e-09  1.59036692e-02 
 1.60000000e-08  3.16185360e-02 
 3.20000000e-08  6.24892426e-02 
 6.40000000e-08  1.22060059e-01 
 1.28000000e-07  2.33016390e-01 
 2.28000000e-07  3.86548987e-01 
 3.28000000e-07  5.18658430e-01 
 4.28000000e-07  6.32333998e-01 
 5.28000000e-07  7.30147859e-01 
 6.28000000e-07  8.14313274e-01 
 7.28000000e-07  8.86734678e-01 
 8.28000000e-07  9.49050769e-01 
 9.28000000e-07  1.00267159e+00 
 1.02800000e-06  1.04881044e+00 
 1.12800000e-06  1.08851131e+00 
 1.22800000e-06  1.12267252e+00 
 1.32800000e-06  1.15206705e+00 
 1.42800000e-06  1.17736002e+00 
 1.52800000e-06  1.19912374e+00 
 1.62800000e-06  1.21785066e+00 
 1.72800000e-06  1.23396452e+00 
 1.82800000e-06  1.24782994e+00 
 1.92800000e-06  1.25976064e+00 
 2.02800000e-06  1.27002660e+00 
 2.12800000e-06  1.27886010e+00 
 2.22800000e-06  1.28646101e+00 
 2.32800000e-06  1.29300134e+00 
 2.42800000e-06  1.29862906e+00 
 2.52800000e-06  1.30347152e+00 
 2.62800000e-06  1.30763828e+00 
 2.72800000e-06  1.31122364e+00 
 2.82800000e-06  1.31430871e+00 
 2.92800000e-06  1.31696331e+00 
 3.02800000e-06  1.31924750e+00 
 3.12800000e-06  1.32121296e+00 
 3.22800000e-06  1.32290418e+00 
 3.32800000e-06  1.32435941e+00 
 3.42800000e-06  1.32561158e+00 
 3.52800000e-06  1.32668904e+00 
 3.62800000e-06  1.32761615e+00 
 3.72800000e-06  1.32841390e+00 
 3.82800000e-06  1.32910033e+00 
 3.92800000e-06  1.32969098e+00 
 4.02800000e-06  1.33019922e+00 
 4.12800000e-06  1.33063653e+00 
 4.22800000e-06  1.33101283e+00 
 4.32800000e-06  1.33133662e+00 
 4.42800000e-06  1.33161523e+00 
 4.52800000e-06  1.33185497e+00 
 4.62800000e-06  1.33206125e+00 
 4.72800000e-06  1.33223875e+00 
 4.82800000e-06  1.33239148e+00 
 4.92800000e-06  1.33252290e+00 
 5.00000000e-06  1.33260595e+00 
